image index	predicted index	target index	correct	path	path probability	path length	number backtracks
1041	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
1042	2	5	FALSE	['n00003553', 'n01471682', 'n01503061']	[0.999873161315918, 0.9998487234115601]	3	0
1043	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9998424053192139, 0.9996029734611511]	3	0
1044	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9999932050704956, 0.9999067783355713]	4	0
1045	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999998807907104, 1.0, 1.0]	5	0
1046	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1047	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1048	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1049	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9468235969543457, 0.9751578569412231, 0.8534576296806335, 0.8754953742027283]	5	0
1050	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.7619444727897644, 0.9515917897224426, 0.9098832011222839, 0.8298065066337585]	5	0
1051	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999948740005493, 0.5340507626533508]	3	0
1052	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
1053	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999626874923706, 0.9999990463256836, 0.999169111251831]	5	0
1054	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999996423721313, 1.0, 0.9999897480010986]	4	0
1055	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
1056	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999983310699463, 0.9991262555122375, 0.996030867099762, 0.5458881258964539]	5	0
1057	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999966621398926, 0.9999991655349731, 0.9840186238288879, 0.9985737800598145]	5	0
1058	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.999895453453064, 0.9999550580978394]	3	0
1059	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1060	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
1061	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999995231628418, 0.9998288154602051, 0.778417706489563]	4	0
1062	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999961853027344, 1.0]	3	0
1063	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 1.0, 1.0]	5	0
1064	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9995518326759338, 0.9999133348464966, 0.9999678134918213]	4	0
1065	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9986562728881836, 0.9962766766548157, 0.9990445971488953, 0.9999231100082397]	5	0
1066	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999808073043823, 0.9999990463256836, 0.9999744892120361]	4	0
1067	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
1068	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 0.9999998807907104, 1.0]	4	0
1069	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999967813491821, 0.9996501207351685]	3	0
1070	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 1.0, 1.0, 1.0]	5	0
1071	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
1072	8	0	FALSE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9999995231628418, 0.9323328733444214]	4	0
1073	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999971389770508, 0.999947190284729, 0.9999978542327881, 0.9999996423721313]	5	0
1074	6	3	FALSE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9291346073150635]	3	0
1075	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999988079071045, 0.9998350143432617, 0.9997624754905701]	4	0
1076	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 0.9999996423721313, 0.9999891519546509]	4	0
1077	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
1078	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.999996542930603, 0.9999986886978149, 0.9999982118606567]	4	0
1079	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999992847442627, 0.9999960660934448]	3	0
1080	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9951034784317017, 0.9455822110176086]	3	0
1081	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
1082	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 0.9999998807907104, 0.9986066222190857]	4	0
1083	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1084	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999402761459351, 0.9999979734420776, 1.0]	5	0
1085	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999892711639404, 0.999998927116394, 0.9999985694885254]	5	0
1086	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999995231628418, 1.0, 0.9999997615814209]	5	0
1087	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999985694885254]	3	0
1088	5	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999998807907104, 1.0, 0.9999850988388062, 0.7269260287284851]	5	0
1089	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999983310699463, 0.9999998807907104]	3	0
1090	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999939203262329, 0.9999897480010986, 0.9960148334503174]	4	0
1091	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999996423721313, 0.9999994039535522, 0.9999499320983887]	4	0
1092	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999967813491821, 0.9998204112052917]	3	0
1093	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9996065497398376, 0.9998156428337097, 0.9997519850730896]	4	0
1094	5	6	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999994039535522, 0.99928218126297, 0.9654076099395752, 0.7557891011238098]	5	0
1095	6	2	FALSE	['n00003553', 'n01471682', 'n01639765']	[0.9999990463256836, 0.8645458817481995]	3	0
1096	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 0.9999822378158569, 0.9999997615814209]	5	0
1097	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9983903169631958, 0.9998646974563599, 0.9999921321868896, 1.0]	5	0
1098	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999960660934448, 0.9999990463256836, 0.9999896287918091]	4	0
1099	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1100	-1	7	FALSE	['n00003553', 'n01471682', 'n01886756', 'n01471682', 'n00003553', 'n03575240', 'n00003553']	[0.806318461894989, 0.5956708788871765, 0.5956708788871765, 0.5956708788871765, 0.19368156790733337, 0.19368156790733337]	7	2
1101	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 0.9999969005584717, 0.9999998807907104]	4	0
1102	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1103	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999998807907104, 1.0, 0.9999661445617676]	4	0
1104	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999998807907104, 0.9999997615814209, 1.0]	4	0
1105	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9969244599342346, 0.9927983283996582, 0.9208166003227234]	5	0
1106	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999990463256836]	4	0
1107	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999662637710571, 0.9999932050704956, 0.9999994039535522, 0.9999996423721313]	5	0
1108	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999998807907104, 1.0]	3	0
1109	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 0.999994158744812, 0.9999990463256836]	4	0
1110	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1111	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 0.9999997615814209, 0.9999971389770508]	4	0
1112	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999997615814209, 1.0, 1.0]	5	0
1113	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1114	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999983310699463, 0.9999998807907104, 1.0]	4	0
1115	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1116	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999998807907104, 1.0, 1.0]	5	0
1117	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
1118	7	4	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999998807907104, 0.9999990463256836, 0.9999985694885254, 0.8990071415901184]	5	0
1119	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
1120	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.999997615814209, 1.0, 1.0]	5	0
1121	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999992847442627, 0.9989405274391174, 0.9877349734306335, 0.9937762022018433]	5	0
1122	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999992847442627, 0.9999997615814209, 0.9999996423721313]	4	0
1123	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 1.0, 1.0, 0.9999995231628418]	5	0
1124	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.9999996423721313, 1.0, 1.0]	5	0
1125	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999933242797852]	3	0
1126	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9969322681427002, 0.999765932559967]	3	0
1127	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1128	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999929666519165, 0.9999943971633911, 0.9995085000991821, 0.9998533725738525]	5	0
1129	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 0.8046558499336243, 0.9739204049110413, 0.9964925646781921]	5	0
1130	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9506499171257019, 0.8799814581871033, 0.5251916646957397, 0.5720333456993103]	5	0
1131	9	1	FALSE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9997021555900574]	4	0
1132	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999442100524902, 0.9999816417694092]	3	0
1133	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999945163726807, 0.9999992847442627, 0.9999998807907104, 0.9999984502792358]	5	0
1134	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999997615814209, 0.9999572038650513, 0.7178166508674622]	4	0
1135	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
1136	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999951124191284]	4	0
1137	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9971189498901367, 0.9862891435623169, 0.7183166146278381]	4	0
1138	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9985124468803406, 0.9987719655036926, 0.9996731281280518, 0.9985333681106567]	5	0
1139	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999998807907104, 1.0, 1.0]	4	0
1140	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 1.0]	3	0
1141	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1142	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1143	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999817609786987, 1.0]	3	0
1144	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1145	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999998807907104, 0.9997319579124451, 0.9999963045120239, 0.9999980926513672]	5	0
1146	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999997615814209, 0.9999998807907104]	3	0
1147	9	6	FALSE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9770855903625488, 0.9906905889511108, 0.9938288331031799]	4	0
1148	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1149	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999994039535522, 1.0, 0.9999936819076538, 0.7540586590766907]	5	0
1150	7	2	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9971562623977661, 0.9976131916046143, 0.9990680813789368, 0.9790034890174866]	5	0
1151	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[0.9999996423721313, 1.0]	3	0
1152	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
1153	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999961853027344, 0.9999983310699463, 0.9999997615814209]	4	0
1154	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 1.0]	3	0
1155	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.999983549118042, 0.9999957084655762, 0.9999042749404907]	4	0
1156	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999990463256836, 0.9999995231628418, 0.9999983310699463]	4	0
1157	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.999692440032959, 0.9947382807731628, 0.970625102519989, 0.9817780256271362]	5	0
1158	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999995231628418, 1.0, 0.9996310472488403]	4	0
1159	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 0.9999679327011108, 0.9999948740005493]	4	0
1160	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1161	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999940395355225, 0.9999881982803345, 0.9999967813491821]	4	0
1162	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999984502792358, 0.999998927116394, 0.9999997615814209, 1.0]	5	0
1163	5	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 0.9999982118606567, 0.999866247177124, 0.9993743300437927]	5	0
1164	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 0.9999998807907104]	4	0
1165	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999983310699463, 0.9999994039535522, 0.9999997615814209]	4	0
1166	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 1.0, 1.0, 0.9999551773071289]	5	0
1167	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999426603317261, 0.9999234676361084, 0.6593495607376099, 0.9547195434570312]	5	0
1168	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[1.0, 1.0, 1.0, 0.9999991655349731]	5	0
1169	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999997615814209, 0.9999990463256836, 0.9999877214431763, 0.9999988079071045]	5	0
1170	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 0.9999933242797852, 1.0, 1.0]	5	0
1171	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 1.0]	4	0
1172	7	2	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999992847442627, 0.9659698605537415, 0.9832955002784729, 0.9857656955718994]	5	0
1173	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999678134918213, 0.9999816417694092, 0.9999747276306152, 0.9999964237213135]	5	0
1174	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1175	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999986886978149]	4	0
1176	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1177	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.999871015548706]	4	0
1178	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 0.9999462366104126]	3	0
1179	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9976714253425598, 0.9998254179954529, 0.9999552965164185, 0.9989603757858276]	5	0
1180	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999173879623413, 0.9999277591705322, 0.9999889135360718, 0.9997345805168152]	5	0
1181	4	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9983775615692139, 0.9168813228607178, 0.8666703701019287, 0.8667696714401245]	5	0
1182	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1183	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[1.0, 1.0, 1.0]	4	0
1184	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.9999998807907104]	3	0
1185	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 0.9999974966049194, 0.9999860525131226]	4	0
1186	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 0.9999984502792358, 1.0, 1.0]	5	0
1187	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1188	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999287128448486, 0.9999476671218872, 0.9999505281448364]	4	0
1189	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9997346997261047, 0.9998906850814819, 0.9999665021896362]	4	0
1190	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 0.9999998807907104, 0.9999995231628418]	4	0
1191	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999985694885254, 0.9999785423278809, 0.9999953508377075]	4	0
1192	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999998807907104, 0.9967562556266785]	3	0
1193	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999998807907104, 0.9982256293296814, 0.9998528957366943, 0.9931970834732056]	5	0
1194	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 1.0, 1.0]	5	0
1195	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[1.0, 0.999997615814209]	3	0
1196	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 0.9999996423721313]	3	0
1197	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999997615814209, 0.9999998807907104, 1.0]	4	0
1198	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999974966049194, 0.9999816417694092, 0.9999998807907104, 1.0]	5	0
1199	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9990760087966919, 0.9991940855979919, 0.9973762035369873]	4	0
1200	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999604225158691, 0.9999895095825195, 0.9999805688858032]	4	0
1201	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[0.9999995231628418, 0.9999998807907104, 0.9984084963798523, 0.9997110962867737]	5	0
1202	2	2	TRUE	['n00003553', 'n01471682', 'n01503061']	[1.0, 1.0]	3	0
1203	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999955892562866, 0.9999897480010986, 0.79682457447052]	4	0
1204	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999980926513672, 1.0]	3	0
1205	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[0.9999908208847046, 0.9999980926513672, 0.9893900752067566]	4	0
1206	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1207	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999942779541016, 0.9999966621398926, 0.9999998807907104, 1.0]	5	0
1208	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999997615814209, 0.999998927116394, 1.0, 1.0]	5	0
1209	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
1210	0	0	TRUE	['n00003553', 'n03575240', 'n03125870', 'n02691156']	[0.9999997615814209, 0.9999998807907104, 1.0]	4	0
1211	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999909400939941, 0.9999992847442627]	3	0
1212	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999943971633911, 0.999998927116394, 0.9999994039535522]	4	0
1213	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 0.9999998807907104]	4	0
1214	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 1.0]	5	0
1215	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 1.0, 1.0]	5	0
1216	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 0.9999998807907104, 1.0]	4	0
1217	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[0.9999998807907104, 1.0, 0.9866266846656799, 0.9979052543640137]	5	0
1218	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1219	3	3	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02121620']	[0.9999995231628418, 0.9999822378158569, 0.9999884366989136, 0.9999771118164062]	5	0
1220	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[0.9999997615814209, 0.9999912977218628, 0.9999990463256836]	4	0
1221	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 0.999992847442627, 0.999998927116394]	4	0
1222	1	9	FALSE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999998807907104, 0.9999878406524658, 0.9636412858963013]	4	0
1223	8	8	TRUE	['n00003553', 'n03575240', 'n03125870', 'n04194289']	[1.0, 1.0, 1.0]	4	0
1224	7	7	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02374451']	[1.0, 1.0, 0.9998032450675964, 0.9882969260215759]	5	0
1225	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999996423721313, 1.0]	3	0
1226	6	6	TRUE	['n00003553', 'n01471682', 'n01639765']	[0.9999991655349731, 0.9983567595481873]	3	0
1227	5	3	FALSE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[1.0, 1.0, 1.0, 0.9840341806411743]	5	0
1228	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9999933242797852, 0.9999842643737793, 0.999992847442627, 0.9999961853027344]	5	0
1229	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1230	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.9997393488883972, 0.9443967342376709, 0.9780414700508118, 0.5936122536659241]	5	0
1231	9	9	TRUE	['n00003553', 'n03575240', 'n03791235', 'n04490091']	[1.0, 1.0, 0.9999994039535522]	4	0
1232	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[1.0, 1.0, 1.0]	4	0
1233	4	4	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02370806', 'n02430045']	[1.0, 1.0, 1.0, 1.0]	5	0
1234	1	1	TRUE	['n00003553', 'n03575240', 'n03791235', 'n02958343']	[0.9999988079071045, 0.999998927116394, 0.9999997615814209]	4	0
1235	5	5	TRUE	['n00003553', 'n01471682', 'n01886756', 'n02075296', 'n02084071']	[0.999998927116394, 0.9999996423721313, 1.0, 1.0]	5	0
